"FileIndex","PlotIndex","TRecIndex","TRecType","Measurement","SpeciesCode","SpeciesName","GroupName","Dbh","ProductNumb","ProductName","TQIPrd","Count","GSF","PACF","DefStumpHt","HmObs","HsObs","HpObs","HmEst","HsEst","HpEst","Top","Defect","FcObs","FcEst","Age","Ht","RadialGr","SngBark","ReproPlot","OffPlot","SubMerch","PWOnly","StumpHt","StumpDia","TClass","TClassName","TClass2","TClassName2","IsGradeTree","GrdStumpHt","StopTop","TopType","TopTypeV","SGL1","GRD1","GRDV1","DEF1","SGL2","GRD2","GRDV2","DEF2","SGL3","GRD3","GRDV3","DEF3","SGL4","GRD4","GRDV4","DEF4","SGL5","GRD5","GRDV5","DEF5","SGL6","GRD6","GRDV6","DEF6","SGL7","GRD7","GRDV7","DEF7","SGL8","GRD8","GRDV8","DEF8","SGL9","GRD9","GRDV9","DEF9","SGL10","GRD10","GRDV10","DEF10","SGL11","GRD11","GRDV11","DEF11","SGL12","GRD12","GRDV12","DEF12","SGL13","GRD13","GRDV13","DEF13","SGL14","GRD14","GRDV14","DEF14","SGL15","GRD15","GRDV15","DEF15","SGL16","GRD16","GRDV16","DEF16","SGL17","GRD17","GRDV17","DEF17","SGL18","GRD18","GRDV18","DEF18","SGL19","GRD19","GRDV19","DEF19","SGL20","GRD20","GRDV20","DEF20","LogTrim","BA","PW_CFVOB","PW_CFVIB","PW_GreenTons","PW_WtCords","SW_CFVOB","SW_CFVIB","SW_GreenTons","SW_WtCords","IntQuarter","Doyle","Scribner","PW_Dollars","SW_Dollars","CC01","CC02","CC03","CC04","CC05","CC06","CC07","CC08","CC09","CC10","CC11","CC12","CC13","CC14","CC15","CC16","CC17","CC18","CC19","CC20","CC21","CC22"
1,597,11,,0,"AS","Ash Spp","Ash Spp",4.7,1,"Pulp",0,1,1,165.9995553473009,1,0,0,0,42.69604,0,5,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,"LL",0,"TBA",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20.00000027272153,98.81245458429144,74.79114269130709,3.396678126335019,1.235155682303643,0,0,0,0,0,0,0,1.235155682303643,0,,"N","1","1",,,,,,,,,,,,,,,,,,
1,59,12,,0,"BA","Black Ash","Black Ash",4.8,1,"Pulp",0,1,1,159.1549300598357,1,55,0,0,55,0,3,0,0,0,80,0,55,0,0,0,0,0,0,0,0,0,"LL",0,"TBA",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20.00000027272152,52.26277781375702,39.55769859007794,1.796532987347898,0.6532847226719628,0,0,0,0,0,0,0,0.6532847226719628,0,,"N","1","1",,,,,,,,,,,,,,,,,,
1,218,13,,0,"BA","Black Ash","Black Ash",0.5,6,"SM",0,1,1,500,0.5,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,1,0,0,0,0,"LL",0,"TBA",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.68175,0,0,0,0,0,0,0,0,0,0,0,0,0,,"N","1","1",,,,,,,,,,,,,,,,,,
1,1,14,,0,"BC","Black Cherry","Black Cherry",4.7,1,"Pulp",0,1,1,165.9995553473009,1,0,0,0,42.69604,0,7,0,0,0,82,0,0,0,0,0,0,0,0,0,0,3,"D",0,"TBA",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20.00000027272153,126.7122505368797,102.636918722596,4.355733612205239,1.583903131710996,0,0,0,0,0,0,0,1.583903131710996,0,,"N","2","1",,,,,,,,,,,,,,,,,,
1,563,15,,0,"BC","Black Cherry","Black Cherry",0.9,6,"SM",0,1,1,500,0.5,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,1,0,0,0,1,"PU",0,"TBA",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.208869882969858,0,0,0,0,0,0,0,0,0,0,0,0,0,,"N","1","3",,,,,,,,,,,,,,,,,,
1,821,16,,0,"BC","Black Cherry","Black Cherry",6.7,1,"Pulp",0,1,1,81.68701467541818,1,0,0,0,55.04523,0,29,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,"LL",0,"TBA",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20.00000027272152,429.6507214863565,348.017063465299,14.76924355109351,5.370634018579457,0,0,0,0,0,0,0,5.370634018579457,0,,"N","1","1",,,,,,,,,,,,,,,,,,
1,5,17,,0,"AB","Am. Beech","Am. Beech",0.5,6,"SM",0,1,1,500,0.5,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,1,0,0,0,0,"LL",0,"TBA",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.68175,0,0,0,0,0,0,0,0,0,0,0,0,0,,"N",,,,,,,,,,,,,,,,,,,,
1,6,18,,0,"AB","Am. Beech","Am. Beech",8.7,1,"Pulp",0,1,1,48.44669098671196,1,55,0,0,55,0,33,0,0,0,84,0,55,0,0,0,0,0,0,0,0,1,"PU",0,"TBA",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20.00000027272152,457.7635820729017,395.9197421074521,15.735623133756,5.722044775911272,0,0,0,0,0,0,0,5.722044775911272,0,,"N","2","3",,,,,,,,,,,,,,,,,,
1,6,19,,0,"AB","Am. Beech","Am. Beech",1.8,6,"SM",0,1,1,500,0.5,22,0,0,0,0,0,0,0,0,88,0,22,0,0,0,0,1,0,0,0,0,"LL",0,"TBA",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8.835479531879431,0,0,0,0,0,0,0,0,0,0,0,0,0,,"N",,,,,,,,,,,,,,,,,,,,
1,6,20,,0,"AB","Am. Beech","Am. Beech",1.5,6,"SM",0,1,1,500,0.5,22,0,0,0,0,0,0,0,0,88,0,22,0,0,0,0,1,0,0,0,0,"LL",0,"TBA",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6.13575,0,0,0,0,0,0,0,0,0,0,0,0,0,,"N",,,,,,,,,,,,,,,,,,,,
